province,speculation,type_culture,year,rendement
Sanguie,patate,pure,2018,7520
Sanguie,patate,pure,2019,9600
Sanguie,patate,pure,2020,
Sanguie,patate,pure,2021,6400
Sissili,patate,pure,2012,10620
Sissili,patate,pure,2013,6006
Sissili,patate,pure,2014,6684
Sissili,patate,pure,2015,4329
Sissili,patate,pure,2016,6530
Sissili,patate,pure,2017,9710
Sissili,patate,pure,2018,13960
Sissili,patate,pure,2019,9989
Sissili,patate,pure,2020,16358
Sissili,patate,pure,2021,7884
Ziro,patate,pure,2012,
Ziro,patate,pure,2013,6000
Ziro,patate,pure,2014,
Ziro,patate,pure,2015,
Ziro,patate,pure,2016,5171
Ziro,patate,pure,2017,
Ziro,patate,pure,2018,10000
Ziro,patate,pure,2019,
Ziro,patate,pure,2020,
Ziro,patate,pure,2021,2242
Bazega,patate,pure,2012,
Bazega,patate,pure,2013,3120
Bazega,patate,pure,2014,
Bazega,patate,pure,2015,1200
Bazega,patate,pure,2016,
Bazega,patate,pure,2017,
Bazega,patate,pure,2018,2000
Bazega,patate,pure,2019,
Bazega,patate,pure,2020,
Bazega,patate,pure,2021,
Nahouri,patate,pure,2012,11675
Nahouri,patate,pure,2013,7325
Nahouri,patate,pure,2014,12420
Nahouri,patate,pure,2015,14147
Nahouri,patate,pure,2016,4931
Nahouri,patate,pure,2017,8057
Nahouri,patate,pure,2018,11210
Nahouri,patate,pure,2019,6313
Nahouri,patate,pure,2020,14550
Nahouri,patate,pure,2021,9220
Zoundweogo,patate,pure,2012,
Zoundweogo,patate,pure,2013,
Zoundweogo,patate,pure,2014,
Zoundweogo,patate,pure,2015,0
Zoundweogo,patate,pure,2016,0
Zoundweogo,patate,pure,2017,
Zoundweogo,patate,pure,2018,0
Zoundweogo,patate,pure,2019,
Zoundweogo,patate,pure,2020,
Zoundweogo,patate,pure,2021,
Gnagna,patate,pure,2012,
Gnagna,patate,pure,2013,
Gnagna,patate,pure,2014,
Gnagna,patate,pure,2015,0
Gnagna,patate,pure,2016,0
Gnagna,patate,pure,2017,
Gnagna,patate,pure,2018,0
Gnagna,patate,pure,2019,
Gnagna,patate,pure,2020,
Gnagna,patate,pure,2021,
Gourma,patate,pure,2012,3260
Gourma,patate,pure,2013,4549
Gourma,patate,pure,2014,6152
Gourma,patate,pure,2015,
Gourma,patate,pure,2016,
Gourma,patate,pure,2017,
Gourma,patate,pure,2018,4704
Gourma,patate,pure,2019,12896
Gourma,patate,pure,2020,15673
Gourma,patate,pure,2021,7044
Komandjoari,patate,pure,2012,
Komandjoari,patate,pure,2013,
Komandjoari,patate,pure,2014,
Komandjoari,patate,pure,2015,0
Komandjoari,patate,pure,2016,0
Komandjoari,patate,pure,2017,
Komandjoari,patate,pure,2018,0
Komandjoari,patate,pure,2019,
Komandjoari,patate,pure,2020,
Komandjoari,patate,pure,2021,
Kompienga,patate,pure,2012,6476
Kompienga,patate,pure,2013,7736
Kompienga,patate,pure,2014,1269
Kompienga,patate,pure,2015,2505
Kompienga,patate,pure,2016,1810
Kompienga,patate,pure,2017,1741
Kompienga,patate,pure,2018,4156
Kompienga,patate,pure,2019,5300
Kompienga,patate,pure,2020,2699
Kompienga,patate,pure,2021,5695
Tapoa,patate,pure,2012,782
Tapoa,patate,pure,2013,11400
Tapoa,patate,pure,2014,3240
Tapoa,patate,pure,2015,
Tapoa,patate,pure,2016,
Tapoa,patate,pure,2017,
Tapoa,patate,pure,2018,
Tapoa,patate,pure,2019,
Tapoa,patate,pure,2020,600
Tapoa,patate,pure,2021,6000
Houet,patate,pure,2012,4787
Houet,patate,pure,2013,8696
Houet,patate,pure,2014,9045
Houet,patate,pure,2015,3003
Houet,patate,pure,2016,7089
Houet,patate,pure,2017,4974
Houet,patate,pure,2018,15719
Houet,patate,pure,2019,15981
Houet,patate,pure,2020,3750
Houet,patate,pure,2021,2687
Kenedougou,patate,pure,2012,7737
Kenedougou,patate,pure,2013,19444
Kenedougou,patate,pure,2014,6450
Kenedougou,patate,pure,2015,11869
Kenedougou,patate,pure,2016,17634
Kenedougou,patate,pure,2017,12718
Kenedougou,patate,pure,2018,9203
Kenedougou,patate,pure,2019,12674
Kenedougou,patate,pure,2020,7350
Kenedougou,patate,pure,2021,15074
Tuy,patate,pure,2012,
Tuy,patate,pure,2013,
Tuy,patate,pure,2014,2778
Tuy,patate,pure,2015,5880
Tuy,patate,pure,2016,6892
Tuy,patate,pure,2017,24124
Tuy,patate,pure,2018,6510
Tuy,patate,pure,2019,5801
Tuy,patate,pure,2020,7737
Tuy,patate,pure,2021,8331
Loroum,patate,pure,2012,
Loroum,patate,pure,2013,
Loroum,patate,pure,2014,
Loroum,patate,pure,2015,0
Loroum,patate,pure,2016,0
Loroum,patate,pure,2017,
Loroum,patate,pure,2018,0
Loroum,patate,pure,2019,
Loroum,patate,pure,2020,
Loroum,patate,pure,2021,14995
Passore,patate,pure,2012,
Passore,patate,pure,2013,
Passore,patate,pure,2014,
Passore,patate,pure,2015,18008
Passore,patate,pure,2016,
Passore,patate,pure,2017,
Passore,patate,pure,2018,
Passore,patate,pure,2019,
Passore,patate,pure,2020,23200
Passore,patate,pure,2021,
Yatenga,patate,pure,2012,
Yatenga,patate,pure,2013,
Yatenga,patate,pure,2014,7589
Yatenga,patate,pure,2015,5978
Yatenga,patate,pure,2016,4923
Yatenga,patate,pure,2017,4980
Yatenga,patate,pure,2018,14916
Yatenga,patate,pure,2019,4448
Yatenga,patate,pure,2020,11113
Yatenga,patate,pure,2021,7542
Zondoma,patate,pure,2012,
Zondoma,patate,pure,2013,704
Zondoma,patate,pure,2014,
Zondoma,patate,pure,2015,
Zondoma,patate,pure,2016,
Zondoma,patate,pure,2017,
Zondoma,patate,pure,2018,
Zondoma,patate,pure,2019,
Zondoma,patate,pure,2020,
Zondoma,patate,pure,2021,
Ganzourgou,patate,pure,2012,
Ganzourgou,patate,pure,2013,
Ganzourgou,patate,pure,2014,
Ganzourgou,patate,pure,2015,0
Ganzourgou,patate,pure,2016,0
Ganzourgou,patate,pure,2017,
Ganzourgou,patate,pure,2018,0
Ganzourgou,patate,pure,2019,
Ganzourgou,patate,pure,2020,
Ganzourgou,patate,pure,2021,
Kourweogo,patate,pure,2012,
Kourweogo,patate,pure,2013,1600
Kourweogo,patate,pure,2014,
Kourweogo,patate,pure,2015,800
Kourweogo,patate,pure,2016,
Kourweogo,patate,pure,2017,8717
Kourweogo,patate,pure,2018,
Kourweogo,patate,pure,2019,
Kourweogo,patate,pure,2020,8508
Kourweogo,patate,pure,2021,1746
Oubritenga,patate,pure,2012,
Oubritenga,patate,pure,2013,
Oubritenga,patate,pure,2014,640
Oubritenga,patate,pure,2015,
Oubritenga,patate,pure,2016,
Oubritenga,patate,pure,2017,
Oubritenga,patate,pure,2018,
Oubritenga,patate,pure,2019,
Oubritenga,patate,pure,2020,
Oubritenga,patate,pure,2021,
Oudalan,patate,pure,2012,
Oudalan,patate,pure,2013,
Oudalan,patate,pure,2014,
Oudalan,patate,pure,2015,
Oudalan,patate,pure,2016,
Oudalan,patate,pure,2017,
Oudalan,patate,pure,2018,0
Oudalan,patate,pure,2019,
Oudalan,patate,pure,2020,
Oudalan,patate,pure,2021,
Seno,patate,pure,2012,
Seno,patate,pure,2013,
Seno,patate,pure,2014,
Seno,patate,pure,2015,
Seno,patate,pure,2016,
Seno,patate,pure,2017,
Seno,patate,pure,2018,0
Seno,patate,pure,2019,
Seno,patate,pure,2020,
Seno,patate,pure,2021,
Soum,patate,pure,2012,
Soum,patate,pure,2013,
Soum,patate,pure,2014,
Soum,patate,pure,2015,
Soum,patate,pure,2016,
Soum,patate,pure,2017,
Soum,patate,pure,2018,0
Soum,patate,pure,2019,
Soum,patate,pure,2020,
Soum,patate,pure,2021,
Yagha,patate,pure,2012,
Yagha,patate,pure,2013,
Yagha,patate,pure,2014,
Yagha,patate,pure,2015,
Yagha,patate,pure,2016,
Yagha,patate,pure,2017,
Yagha,patate,pure,2018,0
Yagha,patate,pure,2019,
Yagha,patate,pure,2020,
Yagha,patate,pure,2021,
Bougouriba,patate,pure,2012,49
Bougouriba,patate,pure,2013,2312
Bougouriba,patate,pure,2014,440
Bougouriba,patate,pure,2015,
Bougouriba,patate,pure,2016,
Bougouriba,patate,pure,2017,
Bougouriba,patate,pure,2018,
Bougouriba,patate,pure,2019,1680
Bougouriba,patate,pure,2020,15688
Bougouriba,patate,pure,2021,5814
Ioba,patate,pure,2012,
Ioba,patate,pure,2013,2413
Ioba,patate,pure,2014,1436
Ioba,patate,pure,2015,
Ioba,patate,pure,2016,7374
Ioba,patate,pure,2017,
Ioba,patate,pure,2018,4800
Ioba,patate,pure,2019,4591
Ioba,patate,pure,2020,3232
Ioba,patate,pure,2021,1656
Noumbiel,patate,pure,2012,1240
Noumbiel,patate,pure,2013,
Noumbiel,patate,pure,2014,3760
Noumbiel,patate,pure,2015,
Noumbiel,patate,pure,2016,
Noumbiel,patate,pure,2017,12536
Noumbiel,patate,pure,2018,2880
Noumbiel,patate,pure,2019,7221
Noumbiel,patate,pure,2020,2061
Noumbiel,patate,pure,2021,681
Poni,patate,pure,2012,2870
Poni,patate,pure,2013,2151
Poni,patate,pure,2014,4083
Poni,patate,pure,2015,2156
Poni,patate,pure,2016,9754
Poni,patate,pure,2017,4206
Poni,patate,pure,2018,10554
Poni,patate,pure,2019,2175
Poni,patate,pure,2020,8982
Poni,patate,pure,2021,6661
