province,speculation,type_culture,year,rendement
Bam,sorgho blanc,pure,2016,688
Bam,sorgho blanc,pure,2017,678
Bam,sorgho blanc,pure,2018,761
Bam,sorgho blanc,pure,2019,1213
Bam,sorgho blanc,pure,2020,1082
Bam,sorgho blanc,pure,2021,617
Namentenga,sorgho blanc,pure,2012,722
Namentenga,sorgho blanc,pure,2013,862
Namentenga,sorgho blanc,pure,2014,708
Namentenga,sorgho blanc,pure,2015,892
Namentenga,sorgho blanc,pure,2016,640
Namentenga,sorgho blanc,pure,2017,518
Namentenga,sorgho blanc,pure,2018,915
Namentenga,sorgho blanc,pure,2019,825
Namentenga,sorgho blanc,pure,2020,923
Namentenga,sorgho blanc,pure,2021,610
Sanmatenga,sorgho blanc,pure,2012,868
Sanmatenga,sorgho blanc,pure,2013,785
Sanmatenga,sorgho blanc,pure,2014,958
Sanmatenga,sorgho blanc,pure,2015,802
Sanmatenga,sorgho blanc,pure,2016,783
Sanmatenga,sorgho blanc,pure,2017,524
Sanmatenga,sorgho blanc,pure,2018,444
Sanmatenga,sorgho blanc,pure,2019,688
Sanmatenga,sorgho blanc,pure,2020,1103
Sanmatenga,sorgho blanc,pure,2021,685
Boulkiemde,sorgho blanc,pure,2012,643
Boulkiemde,sorgho blanc,pure,2013,839
Boulkiemde,sorgho blanc,pure,2014,693
Boulkiemde,sorgho blanc,pure,2015,582
Boulkiemde,sorgho blanc,pure,2016,672
Boulkiemde,sorgho blanc,pure,2017,477
Boulkiemde,sorgho blanc,pure,2018,1003
Boulkiemde,sorgho blanc,pure,2019,808
Boulkiemde,sorgho blanc,pure,2020,908
Boulkiemde,sorgho blanc,pure,2021,781
Sanguie,sorgho blanc,pure,2012,979
Sanguie,sorgho blanc,pure,2013,803
Sanguie,sorgho blanc,pure,2014,951
Sanguie,sorgho blanc,pure,2015,751
Sanguie,sorgho blanc,pure,2016,912
Sanguie,sorgho blanc,pure,2017,728
Sanguie,sorgho blanc,pure,2018,1274
Sanguie,sorgho blanc,pure,2019,962
Sanguie,sorgho blanc,pure,2020,1007
Sanguie,sorgho blanc,pure,2021,1118
Sissili,sorgho blanc,pure,2012,1165
Sissili,sorgho blanc,pure,2013,1040
Sissili,sorgho blanc,pure,2014,1234
Sissili,sorgho blanc,pure,2015,1182
Sissili,sorgho blanc,pure,2016,1097
Sissili,sorgho blanc,pure,2017,749
Sissili,sorgho blanc,pure,2018,984
Sissili,sorgho blanc,pure,2019,856
Sissili,sorgho blanc,pure,2020,969
Sissili,sorgho blanc,pure,2021,947
Ziro,sorgho blanc,pure,2012,935
Ziro,sorgho blanc,pure,2013,1074
Ziro,sorgho blanc,pure,2014,1401
Ziro,sorgho blanc,pure,2015,1390
Ziro,sorgho blanc,pure,2016,987
Ziro,sorgho blanc,pure,2017,1100
Ziro,sorgho blanc,pure,2018,1018
Ziro,sorgho blanc,pure,2019,1062
Ziro,sorgho blanc,pure,2020,1074
Ziro,sorgho blanc,pure,2021,1006
Bazega,sorgho blanc,pure,2012,1297
Bazega,sorgho blanc,pure,2013,1214
Bazega,sorgho blanc,pure,2014,1363
Bazega,sorgho blanc,pure,2015,979
Bazega,sorgho blanc,pure,2016,1127
Bazega,sorgho blanc,pure,2017,1033
Bazega,sorgho blanc,pure,2018,1074
Bazega,sorgho blanc,pure,2019,1104
Bazega,sorgho blanc,pure,2020,1271
Bazega,sorgho blanc,pure,2021,1353
Nahouri,sorgho blanc,pure,2012,1257
Nahouri,sorgho blanc,pure,2013,1086
Nahouri,sorgho blanc,pure,2014,1219
Nahouri,sorgho blanc,pure,2015,1032
Nahouri,sorgho blanc,pure,2016,1298
Nahouri,sorgho blanc,pure,2017,1180
