province,speculation,type_culture,year,rendement
Boulkiemde,riz,pure,2020,1026
Boulkiemde,riz,pure,2021,681
Sanguie,riz,pure,2012,1454
Sanguie,riz,pure,2013,585
Sanguie,riz,pure,2014,1598
Sanguie,riz,pure,2015,991
Sanguie,riz,pure,2016,1116
Sanguie,riz,pure,2017,1045
Sanguie,riz,pure,2018,1316
Sanguie,riz,pure,2019,961
Sanguie,riz,pure,2020,1454
Sanguie,riz,pure,2021,1287
Sissili,riz,pure,2012,3193
Sissili,riz,pure,2013,1425
Sissili,riz,pure,2014,1470
Sissili,riz,pure,2015,1324
Sissili,riz,pure,2016,1366
Sissili,riz,pure,2017,1334
Sissili,riz,pure,2018,3127
Sissili,riz,pure,2019,2461
Sissili,riz,pure,2020,913
Sissili,riz,pure,2021,888
Ziro,riz,pure,2012,1426
Ziro,riz,pure,2013,712
Ziro,riz,pure,2014,3129
Ziro,riz,pure,2015,1953
Ziro,riz,pure,2016,1867
Ziro,riz,pure,2017,1205
Ziro,riz,pure,2018,1580
Ziro,riz,pure,2019,815
Ziro,riz,pure,2020,968
Ziro,riz,pure,2021,1559
Bazega,riz,pure,2012,984
Bazega,riz,pure,2013,888
Bazega,riz,pure,2014,1147
Bazega,riz,pure,2015,494
Bazega,riz,pure,2016,1572
Bazega,riz,pure,2017,1191
Bazega,riz,pure,2018,1233
Bazega,riz,pure,2019,1146
Bazega,riz,pure,2020,1010
Bazega,riz,pure,2021,603
Nahouri,riz,pure,2012,1040
Nahouri,riz,pure,2013,986
Nahouri,riz,pure,2014,1108
Nahouri,riz,pure,2015,1398
Nahouri,riz,pure,2016,1021
Nahouri,riz,pure,2017,980
Nahouri,riz,pure,2018,1121
Nahouri,riz,pure,2019,1510
Nahouri,riz,pure,2020,1833
Nahouri,riz,pure,2021,1331
Zoundweogo,riz,pure,2012,1085
Zoundweogo,riz,pure,2013,1054
Zoundweogo,riz,pure,2014,1812
Zoundweogo,riz,pure,2015,1568
Zoundweogo,riz,pure,2016,1777
Zoundweogo,riz,pure,2017,1315
Zoundweogo,riz,pure,2018,1752
Zoundweogo,riz,pure,2019,1503
Zoundweogo,riz,pure,2020,1661
Zoundweogo,riz,pure,2021,1221
Gnagna,riz,pure,2012,245
Gnagna,riz,pure,2013,651
Gnagna,riz,pure,2014,973
Gnagna,riz,pure,2015,639
Gnagna,riz,pure,2016,942
Gnagna,riz,pure,2017,689
Gnagna,riz,pure,2018,284
Gnagna,riz,pure,2019,473
Gnagna,riz,pure,2020,520
Gnagna,riz,pure,2021,1579
Gourma,riz,pure,2012,1545
Gourma,riz,pure,2013,1449
Gourma,riz,pure,2014,2615
Gourma,riz,pure,2015,1459
Gourma,riz,pure,2016,2146
Gourma,riz,pure,2017,1162
Gourma,riz,pure,2018,1128
Gourma,riz,pure,2019,792
Gourma,riz,pure,2020,1157
Gourma,riz,pure,2021,1043
Komandjoari,riz,pure,2012,
Komandjoari,riz,pure,2013,
Komandjoari,riz,pure,2014,400
Komandjoari,riz,pure,2015,
Komandjoari,riz,pure,2016,
Komandjoari,riz,pure,2017,
Komandjoari,riz,pure,2018,
Komandjoari,riz,pure,2019,
Komandjoari,riz,pure,2020,1160
Komandjoari,riz,pure,2021,603
Kompienga,riz,pure,2012,1931
Kompienga,riz,pure,2013,2805
Kompienga,riz,pure,2014,1612
Kompienga,riz,pure,2015,1854
Kompienga,riz,pure,2016,1799
Kompienga,riz,pure,2017,1899
Kompienga,riz,pure,2018,2104
Kompienga,riz,pure,2019,1558
Kompienga,riz,pure,2020,2517
Kompienga,riz,pure,2021,1845
Tapoa,riz,pure,2012,2450
Tapoa,riz,pure,2013,1730
Tapoa,riz,pure,2014,1358
Tapoa,riz,pure,2015,1433
Tapoa,riz,pure,2016,1774
Tapoa,riz,pure,2017,1503
Tapoa,riz,pure,2018,1302
Tapoa,riz,pure,2019,1238
Tapoa,riz,pure,2020,1752
Tapoa,riz,pure,2021,1687
Houet,riz,pure,2012,1784
Houet,riz,pure,2013,1733
Houet,riz,pure,2014,2526
Houet,riz,pure,2015,1864
Houet,riz,pure,2016,1049
Houet,riz,pure,2017,1563
Houet,riz,pure,2018,1542
Houet,riz,pure,2019,1258
Houet,riz,pure,2020,1329
Houet,riz,pure,2021,1307
Kenedougou,riz,pure,2012,1923
Kenedougou,riz,pure,2013,1061
Kenedougou,riz,pure,2014,1421
Kenedougou,riz,pure,2015,1738
Kenedougou,riz,pure,2016,1830
Kenedougou,riz,pure,2017,1071
Kenedougou,riz,pure,2018,1378
Kenedougou,riz,pure,2019,1413
Kenedougou,riz,pure,2020,1678
Kenedougou,riz,pure,2021,1375
Tuy,riz,pure,2012,3359
Tuy,riz,pure,2013,2324
Tuy,riz,pure,2014,1960
Tuy,riz,pure,2015,1808
Tuy,riz,pure,2016,1875
Tuy,riz,pure,2017,1948
Tuy,riz,pure,2018,1991
Tuy,riz,pure,2019,1664
Tuy,riz,pure,2020,2429
Tuy,riz,pure,2021,1887
Loroum,riz,pure,2012,
Loroum,riz,pure,2013,
Loroum,riz,pure,2014,1967
Loroum,riz,pure,2015,
Loroum,riz,pure,2016,
Loroum,riz,pure,2017,
Loroum,riz,pure,2018,
Loroum,riz,pure,2019,503
Loroum,riz,pure,2020,854
Loroum,riz,pure,2021,980
Passore,riz,pure,2012,
Passore,riz,pure,2013,360
Passore,riz,pure,2014,1240
Passore,riz,pure,2015,
Passore,riz,pure,2016,749
Passore,riz,pure,2017,506
Passore,riz,pure,2018,265
Passore,riz,pure,2019,
Passore,riz,pure,2020,833
Passore,riz,pure,2021,344
Yatenga,riz,pure,2012,215
Yatenga,riz,pure,2013,921
Yatenga,riz,pure,2014,555
Yatenga,riz,pure,2015,2486
Yatenga,riz,pure,2016,1020
Yatenga,riz,pure,2017,791
Yatenga,riz,pure,2018,1101
Yatenga,riz,pure,2019,1628
Yatenga,riz,pure,2020,1212
Yatenga,riz,pure,2021,335
Zondoma,riz,pure,2012,760
Zondoma,riz,pure,2013,1000
Zondoma,riz,pure,2014,
Zondoma,riz,pure,2015,1183
Zondoma,riz,pure,2016,1095
Zondoma,riz,pure,2017,400
Zondoma,riz,pure,2018,1400
Zondoma,riz,pure,2019,2077
Zondoma,riz,pure,2020,993
Zondoma,riz,pure,2021,135
Ganzourgou,riz,pure,2012,1510
Ganzourgou,riz,pure,2013,1169
Ganzourgou,riz,pure,2014,2102
Ganzourgou,riz,pure,2015,1894
Ganzourgou,riz,pure,2016,1597
Ganzourgou,riz,pure,2017,1295
Ganzourgou,riz,pure,2018,1695
Ganzourgou,riz,pure,2019,1438
Ganzourgou,riz,pure,2020,1726
Ganzourgou,riz,pure,2021,1204
Kourweogo,riz,pure,2012,2429
Kourweogo,riz,pure,2013,417
Kourweogo,riz,pure,2014,801
Kourweogo,riz,pure,2015,1550
Kourweogo,riz,pure,2016,470
Kourweogo,riz,pure,2017,865
Kourweogo,riz,pure,2018,1080
Kourweogo,riz,pure,2019,1120
Kourweogo,riz,pure,2020,1207
Kourweogo,riz,pure,2021,1038
Oubritenga,riz,pure,2012,1127
Oubritenga,riz,pure,2013,470
Oubritenga,riz,pure,2014,2107
Oubritenga,riz,pure,2015,1228
Oubritenga,riz,pure,2016,1704
Oubritenga,riz,pure,2017,832
Oubritenga,riz,pure,2018,1838
Oubritenga,riz,pure,2019,2095
Oubritenga,riz,pure,2020,917
Oubritenga,riz,pure,2021,555
Oudalan,riz,pure,2012,0
Oudalan,riz,pure,2013,0
Oudalan,riz,pure,2014,0
Oudalan,riz,pure,2015,0
Oudalan,riz,pure,2016,0
Oudalan,riz,pure,2017,0
Oudalan,riz,pure,2018,0
Oudalan,riz,pure,2019,0
Oudalan,riz,pure,2020,0
Oudalan,riz,pure,2021,0
Seno,riz,pure,2012,0
Seno,riz,pure,2013,0
Seno,riz,pure,2014,0
Seno,riz,pure,2015,0
Seno,riz,pure,2016,0
Seno,riz,pure,2017,0
Seno,riz,pure,2018,0
Seno,riz,pure,2019,0
Seno,riz,pure,2020,0
Seno,riz,pure,2021,0
Soum,riz,pure,2012,
Soum,riz,pure,2013,640
Soum,riz,pure,2014,800
Soum,riz,pure,2015,
Soum,riz,pure,2016,103
Soum,riz,pure,2017,240
Soum,riz,pure,2018,273
Soum,riz,pure,2019,80
Soum,riz,pure,2020,
Soum,riz,pure,2021,
Yagha,riz,pure,2012,
Yagha,riz,pure,2013,
Yagha,riz,pure,2014,480
Yagha,riz,pure,2015,
Yagha,riz,pure,2016,920
Yagha,riz,pure,2017,560
Yagha,riz,pure,2018,423
Yagha,riz,pure,2019,2600
Yagha,riz,pure,2020,
Yagha,riz,pure,2021,
Bougouriba,riz,pure,2012,1074
Bougouriba,riz,pure,2013,795
Bougouriba,riz,pure,2014,354
Bougouriba,riz,pure,2015,607
Bougouriba,riz,pure,2016,898
Bougouriba,riz,pure,2017,1181
Bougouriba,riz,pure,2018,1559
Bougouriba,riz,pure,2019,1225
Bougouriba,riz,pure,2020,1027
Bougouriba,riz,pure,2021,1072
Ioba,riz,pure,2012,1267
Ioba,riz,pure,2013,1348
Ioba,riz,pure,2014,2104
Ioba,riz,pure,2015,1239
Ioba,riz,pure,2016,1186
Ioba,riz,pure,2017,1115
Ioba,riz,pure,2018,1156
Ioba,riz,pure,2019,1153
Ioba,riz,pure,2020,869
Ioba,riz,pure,2021,997
Noumbiel,riz,pure,2012,1305
Noumbiel,riz,pure,2013,322
Noumbiel,riz,pure,2014,831
Noumbiel,riz,pure,2015,723
Noumbiel,riz,pure,2016,1096
Noumbiel,riz,pure,2017,842
Noumbiel,riz,pure,2018,1293
Noumbiel,riz,pure,2019,810
Noumbiel,riz,pure,2020,1280
Noumbiel,riz,pure,2021,1261
Poni,riz,pure,2012,788
Poni,riz,pure,2013,876
Poni,riz,pure,2014,1208
Poni,riz,pure,2015,827
Poni,riz,pure,2016,1524
Poni,riz,pure,2017,718
Poni,riz,pure,2018,1640
Poni,riz,pure,2019,1130
Poni,riz,pure,2020,1427
Poni,riz,pure,2021,935
