province,speculation,type_culture,year,rendement
Bazega,soja,pure,2012,653
Bazega,soja,pure,2013,400
Bazega,soja,pure,2014,
Bazega,soja,pure,2015,
Bazega,soja,pure,2016,
Bazega,soja,pure,2017,881
Bazega,soja,pure,2018,873
Bazega,soja,pure,2019,210
Bazega,soja,pure,2020,1152
Bazega,soja,pure,2021,200
Nahouri,soja,pure,2012,1128
Nahouri,soja,pure,2013,1002
Nahouri,soja,pure,2014,1184
Nahouri,soja,pure,2015,1192
Nahouri,soja,pure,2016,1094
Nahouri,soja,pure,2017,1152
Nahouri,soja,pure,2018,1014
Nahouri,soja,pure,2019,1427
Nahouri,soja,pure,2020,1140
Nahouri,soja,pure,2021,939
Zoundweogo,soja,pure,2012,486
Zoundweogo,soja,pure,2013,742
Zoundweogo,soja,pure,2014,536
Zoundweogo,soja,pure,2015,760
Zoundweogo,soja,pure,2016,1040
Zoundweogo,soja,pure,2017,917
Zoundweogo,soja,pure,2018,781
Zoundweogo,soja,pure,2019,407
Zoundweogo,soja,pure,2020,1196
Zoundweogo,soja,pure,2021,1050
Gnagna,soja,pure,2012,
Gnagna,soja,pure,2013,
Gnagna,soja,pure,2014,160
Gnagna,soja,pure,2015,815
Gnagna,soja,pure,2016,812
Gnagna,soja,pure,2017,
Gnagna,soja,pure,2018,200
Gnagna,soja,pure,2019,800
Gnagna,soja,pure,2020,400
Gnagna,soja,pure,2021,
Gourma,soja,pure,2012,719
Gourma,soja,pure,2013,522
Gourma,soja,pure,2014,354
Gourma,soja,pure,2015,332
Gourma,soja,pure,2016,660
Gourma,soja,pure,2017,295
Gourma,soja,pure,2018,402
Gourma,soja,pure,2019,1155
Gourma,soja,pure,2020,788
Gourma,soja,pure,2021,580
Komandjoari,soja,pure,2012,
Komandjoari,soja,pure,2013,147
Komandjoari,soja,pure,2014,733
Komandjoari,soja,pure,2015,504
Komandjoari,soja,pure,2016,188
Komandjoari,soja,pure,2017,347
Komandjoari,soja,pure,2018,130
Komandjoari,soja,pure,2019,260
Komandjoari,soja,pure,2020,80
Komandjoari,soja,pure,2021,200
Kompienga,soja,pure,2012,789
Kompienga,soja,pure,2013,752
Kompienga,soja,pure,2014,629
Kompienga,soja,pure,2015,846
Kompienga,soja,pure,2016,637
Kompienga,soja,pure,2017,724
Kompienga,soja,pure,2018,839
Kompienga,soja,pure,2019,836
Kompienga,soja,pure,2020,893
Kompienga,soja,pure,2021,834
Tapoa,soja,pure,2012,764
Tapoa,soja,pure,2013,1046
Tapoa,soja,pure,2014,1008
Tapoa,soja,pure,2015,737
Tapoa,soja,pure,2016,956
Tapoa,soja,pure,2017,877
Tapoa,soja,pure,2018,1057
Tapoa,soja,pure,2019,940
Tapoa,soja,pure,2020,860
Tapoa,soja,pure,2021,1047
Houet,soja,pure,2012,660
Houet,soja,pure,2013,1048
Houet,soja,pure,2014,
Houet,soja,pure,2015,1446
Houet,soja,pure,2016,354
Houet,soja,pure,2017,752
Houet,soja,pure,2018,1392
Houet,soja,pure,2019,472
Houet,soja,pure,2020,932
Houet,soja,pure,2021,624
Kenedougou,soja,pure,2012,684
Kenedougou,soja,pure,2013,566
Kenedougou,soja,pure,2014,474
Kenedougou,soja,pure,2015,1243
Kenedougou,soja,pure,2016,1036
Kenedougou,soja,pure,2017,688
Kenedougou,soja,pure,2018,1110
Kenedougou,soja,pure,2019,1327
Kenedougou,soja,pure,2020,1029
Kenedougou,soja,pure,2021,1231
Tuy,soja,pure,2012,800
Tuy,soja,pure,2013,502
Tuy,soja,pure,2014,692
Tuy,soja,pure,2015,1202
Tuy,soja,pure,2016,550
Tuy,soja,pure,2017,320
Tuy,soja,pure,2018,1051
Tuy,soja,pure,2019,862
Tuy,soja,pure,2020,746
Tuy,soja,pure,2021,1075
Loroum,soja,pure,2012,
Loroum,soja,pure,2013,960
Loroum,soja,pure,2014,
Loroum,soja,pure,2015,
Loroum,soja,pure,2016,
Loroum,soja,pure,2017,
Loroum,soja,pure,2018,
Loroum,soja,pure,2019,
Loroum,soja,pure,2020,
Loroum,soja,pure,2021,300
Passore,soja,pure,2012,
Passore,soja,pure,2013,
Passore,soja,pure,2014,
Passore,soja,pure,2015,
Passore,soja,pure,2016,
Passore,soja,pure,2017,49
Passore,soja,pure,2018,440
Passore,soja,pure,2019,
Passore,soja,pure,2020,
Passore,soja,pure,2021,
Yatenga,soja,pure,2012,0
Yatenga,soja,pure,2013,0
Yatenga,soja,pure,2014,0
Yatenga,soja,pure,2015,0
Yatenga,soja,pure,2016,0
Yatenga,soja,pure,2017,0
Yatenga,soja,pure,2018,0
Yatenga,soja,pure,2019,0
Yatenga,soja,pure,2020,0
Yatenga,soja,pure,2021,0
Zondoma,soja,pure,2012,0
Zondoma,soja,pure,2013,0
Zondoma,soja,pure,2014,0
Zondoma,soja,pure,2015,0
Zondoma,soja,pure,2016,0
Zondoma,soja,pure,2017,0
Zondoma,soja,pure,2018,0
Zondoma,soja,pure,2019,0
Zondoma,soja,pure,2020,0
Zondoma,soja,pure,2021,0
Ganzourgou,soja,pure,2012,
Ganzourgou,soja,pure,2013,1120
Ganzourgou,soja,pure,2014,1179
Ganzourgou,soja,pure,2015,1264
Ganzourgou,soja,pure,2016,2000
Ganzourgou,soja,pure,2017,2000
Ganzourgou,soja,pure,2018,
Ganzourgou,soja,pure,2019,
Ganzourgou,soja,pure,2020,
Ganzourgou,soja,pure,2021,
Kourweogo,soja,pure,2012,980
Kourweogo,soja,pure,2013,
Kourweogo,soja,pure,2014,
Kourweogo,soja,pure,2015,
Kourweogo,soja,pure,2016,
Kourweogo,soja,pure,2017,
Kourweogo,soja,pure,2018,400
Kourweogo,soja,pure,2019,
Kourweogo,soja,pure,2020,
Kourweogo,soja,pure,2021,
Oubritenga,soja,pure,2012,
Oubritenga,soja,pure,2013,
Oubritenga,soja,pure,2014,
Oubritenga,soja,pure,2015,
Oubritenga,soja,pure,2016,426
Oubritenga,soja,pure,2017,
Oubritenga,soja,pure,2018,
Oubritenga,soja,pure,2019,
Oubritenga,soja,pure,2020,
Oubritenga,soja,pure,2021,
Oudalan,soja,pure,2012,0
Oudalan,soja,pure,2013,0
Oudalan,soja,pure,2014,0
Oudalan,soja,pure,2015,0
Oudalan,soja,pure,2016,0
Oudalan,soja,pure,2017,0
Oudalan,soja,pure,2018,0
Oudalan,soja,pure,2019,0
Oudalan,soja,pure,2020,0
Oudalan,soja,pure,2021,0
Seno,soja,pure,2012,0
Seno,soja,pure,2013,0
Seno,soja,pure,2014,0
Seno,soja,pure,2015,0
Seno,soja,pure,2016,0
Seno,soja,pure,2017,0
Seno,soja,pure,2018,0
Seno,soja,pure,2019,0
Seno,soja,pure,2020,0
Seno,soja,pure,2021,0
Soum,soja,pure,2012,0
Soum,soja,pure,2013,0
Soum,soja,pure,2014,0
Soum,soja,pure,2015,0
Soum,soja,pure,2016,0
Soum,soja,pure,2017,0
Soum,soja,pure,2018,0
Soum,soja,pure,2019,0
Soum,soja,pure,2020,0
Soum,soja,pure,2021,240
Yagha,soja,pure,2012,0
Yagha,soja,pure,2013,0
Yagha,soja,pure,2014,0
Yagha,soja,pure,2015,0
Yagha,soja,pure,2016,0
Yagha,soja,pure,2017,0
Yagha,soja,pure,2018,0
Yagha,soja,pure,2019,0
Yagha,soja,pure,2020,0
Yagha,soja,pure,2021,0
Bougouriba,soja,pure,2012,903
Bougouriba,soja,pure,2013,1107
Bougouriba,soja,pure,2014,640
Bougouriba,soja,pure,2015,878
Bougouriba,soja,pure,2016,878
Bougouriba,soja,pure,2017,791
Bougouriba,soja,pure,2018,1027
Bougouriba,soja,pure,2019,1386
Bougouriba,soja,pure,2020,1023
Bougouriba,soja,pure,2021,1279
Ioba,soja,pure,2012,414
Ioba,soja,pure,2013,215
Ioba,soja,pure,2014,780
Ioba,soja,pure,2015,1122
Ioba,soja,pure,2016,1017
Ioba,soja,pure,2017,671
Ioba,soja,pure,2018,815
Ioba,soja,pure,2019,831
Ioba,soja,pure,2020,519
Ioba,soja,pure,2021,841
Noumbiel,soja,pure,2012,840
Noumbiel,soja,pure,2013,424
Noumbiel,soja,pure,2014,578
Noumbiel,soja,pure,2015,16
Noumbiel,soja,pure,2016,122
Noumbiel,soja,pure,2017,759
Noumbiel,soja,pure,2018,1228
Noumbiel,soja,pure,2019,833
Noumbiel,soja,pure,2020,915
Noumbiel,soja,pure,2021,1147
Poni,soja,pure,2012,637
Poni,soja,pure,2013,355
Poni,soja,pure,2014,667
Poni,soja,pure,2015,256
Poni,soja,pure,2016,157
Poni,soja,pure,2017,480
Poni,soja,pure,2018,571
Poni,soja,pure,2019,510
Poni,soja,pure,2020,878
Poni,soja,pure,2021,840
